code,name
296,КИРИБАТИ
300,ГРЕЦИЯ
304,ГРЕНЛАНДИЯ
308,ГРЕНАДА
312,ГВАДЕЛУПА
316,ГУАМ
320,ГВАТЕМАЛА
324,ГВИНЕЯ
328,ГАЙАНА
332,ГАИТИ
334,ОСТРОВ ХЕРД И ОСТРОВА МАКДОНАЛЬД
336,ПАПСКИЙ ПРЕСТОЛ (ГОСУДАРСТВО - ГОРОД ВАТИКАН)
340,ГОНДУРАС
344,ГОНКОНГ
348,ВЕНГРИЯ
352,ИСЛАНДИЯ
356,ИНДИЯ
360,ИНДОНЕЗИЯ
364,ИРАН (ИСЛАМСКАЯ РЕСПУБЛИКА)
368,ИРАК
372,ИРЛАНДИЯ
376,ИЗРАИЛЬ
380,ИТАЛИЯ
384,КОТ Д'ИВУАР
388,ЯМАЙКА
392,ЯПОНИЯ
398,КАЗАХСТАН
400,ИОРДАНИЯ
404,КЕНИЯ
408,"КОРЕЯ, НАРОДНО-ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА"
410,"КОРЕЯ, РЕСПУБЛИКА"
414,КУВЕЙТ
417,КИРГИЗИЯ
418,ЛАОССКАЯ НАРОДНО-ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА
422,ЛИВАН
426,ЛЕСОТО
428,ЛАТВИЯ
430,ЛИБЕРИЯ
434,ЛИВИЯ
438,ЛИХТЕНШТЕЙН
440,ЛИТВА
442,ЛЮКСЕМБУРГ
446,МАКАО
450,МАДАГАСКАР
454,МАЛАВИ
458,МАЛАЙЗИЯ
462,МАЛЬДИВЫ
466,МАЛИ
470,МАЛЬТА
474,МАРТИНИКА
478,МАВРИТАНИЯ
480,МАВРИКИЙ
484,МЕКСИКА
492,МОНАКО
496,МОНГОЛИЯ
498,"МОЛДОВА, РЕСПУБЛИКА"
499,ЧЕРНОГОРИЯ
500,МОНТСЕРРАТ
504,МАРОККО
508,МОЗАМБИК
512,ОМАН
516,НАМИБИЯ
520,НАУРУ
524,НЕПАЛ
528,"НИДЕРЛАНДЫ, КОРОЛЕВСТВО"
531,КЮРАСАО
533,АРУБА
534,СЕН-МАРТЕН (нидерландская часть)
535,"БОНЭЙР, СИНТ-ЭСТАТИУС И САБА"
540,НОВАЯ КАЛЕДОНИЯ
548,ВАНУАТУ
554,НОВАЯ ЗЕЛАНДИЯ
558,НИКАРАГУА
562,НИГЕР
566,НИГЕРИЯ
570,НИУЭ
574,ОСТРОВ НОРФОЛК
578,НОРВЕГИЯ
580,СЕВЕРНЫЕ МАРИАНСКИЕ ОСТРОВА
581,МАЛЫЕ ТИХООКЕАНСКИЕ ОТДАЛЕННЫЕ ОСТРОВА СОЕДИНЕННЫХ ШТАТОВ
583,"МИКРОНЕЗИЯ, ФЕДЕРАТИВНЫЕ ШТАТЫ"
584,МАРШАЛЛОВЫ ОСТРОВА
585,ПАЛАУ
586,ПАКИСТАН
591,ПАНАМА
598,ПАПУА-НОВАЯ ГВИНЕЯ
600,ПАРАГВАЙ
604,ПЕРУ
608,ФИЛИППИНЫ
612,ПИТКЕРН
616,ПОЛЬША
620,ПОРТУГАЛИЯ
624,ГВИНЕЯ-БИСАУ
626,ТИМОР-ЛЕСТЕ
630,ПУЭРТО-РИКО
634,КАТАР
638,РЕЮНЬОН
642,РУМЫНИЯ
643,РОССИЯ
646,РУАНДА
652,СЕН-БАРТЕЛЕМИ
654,"СВЯТАЯ ЕЛЕНА, ОСТРОВ ВОЗНЕСЕНИЯ, ТРИСТАН-ДА-КУНЬЯ"
659,СЕНТ-КИТС И НЕВИС
660,АНГИЛЬЯ
662,СЕНТ-ЛЮСИЯ
663,"СЕН-МАРТЕН (французская часть)
"
666,СЕН-ПЬЕР И МИКЕЛОН
670,СЕНТ-ВИНСЕНТ И ГРЕНАДИНЫ
674,САН-МАРИНО
678,САН-ТОМЕ И ПРИНСИПИ
682,САУДОВСКАЯ АРАВИЯ
686,СЕНЕГАЛ
688,СЕРБИЯ
690,СЕЙШЕЛЫ
694,СЬЕРРА-ЛЕОНЕ
702,СИНГАПУР
703,СЛОВАКИЯ
704,ВЬЕТНАМ
705,СЛОВЕНИЯ
706,СОМАЛИ
710,ЮЖНАЯ АФРИКА
716,ЗИМБАБВЕ
724,ИСПАНИЯ
728,ЮЖНЫЙ СУДАН
729,СУДАН
732,ЗАПАДНАЯ САХАРА
740,СУРИНАМ
744,ШПИЦБЕРГЕН И ЯН МАЙЕН
748,ЭСВАТИНИ
752,ШВЕЦИЯ
756,ШВЕЙЦАРИЯ
760,СИРИЙСКАЯ АРАБСКАЯ РЕСПУБЛИКА
762,ТАДЖИКИСТАН
764,ТАИЛАНД
768,ТОГО
772,ТОКЕЛАУ
776,ТОНГА
780,ТРИНИДАД И ТОБАГО
784,ОБЪЕДИНЕННЫЕ АРАБСКИЕ ЭМИРАТЫ
788,ТУНИС
792,ТУРЦИЯ
795,ТУРКМЕНИСТАН
796,ОСТРОВА ТЕРКС И КАЙКОС
798,ТУВАЛУ
800,УГАНДА
804,УКРАИНА
807,СЕВЕРНАЯ МАКЕДОНИЯ
818,ЕГИПЕТ
826,СОЕДИНЕННОЕ КОРОЛЕВСТВО ВЕЛИКОБРИТАНИИ И СЕВЕРНОЙ ИРЛАНДИИ
831,ГЕРНСИ
832,ДЖЕРСИ
833,ОСТРОВ МЭН
834,"ТАНЗАНИЯ, ОБЪЕДИНЕННАЯ РЕСПУБЛИКА"
840,СОЕДИНЕННЫЕ ШТАТЫ
850,ВИРГИНСКИЕ ОСТРОВА (США)
854,БУРКИНА-ФАСО
858,УРУГВАЙ
860,УЗБЕКИСТАН
862,ВЕНЕСУЭЛА (БОЛИВАРИАНСКАЯ РЕСПУБЛИКА)
876,УОЛЛИС И ФУТУНА
882,САМОА
887,ЙЕМЕН
894,ЗАМБИЯ
895,АБХАЗИЯ
896,ЮЖНАЯ ОСЕТИЯ
897,ДНР
898,ЛНР
996,МЕЖДУНАРОДНАЯ КОМПАНИЯ
998,МЕЖДУНАРОДНАЯ ОРГАНИЗАЦИЯ
999,ЛИЦО БЕЗ ГРАЖДАНСТВА
